Frame,Time,Arena 1 ROI 1 Mean,Arena 1 ROI 1 Sum,Arena 1 ROI 2 Mean,Arena 1 ROI 2 Sum,Arena 1 ROI 3 Mean,Arena 1 ROI 3 Sum
2022,67.4,175.10438617985787,8575212,188.64362156128948,8619693,200.1379122164185,7701507
2023,67.43333333333334,175.0667728497917,8573370,188.6017333070711,8617779,200.00382006704606,7696347
2024,67.46666666666667,175.11333006616024,8575650,188.60613223031973,8617980,200.10641615342638,7700295
2025,67.5,175.0230948296986,8571231,188.565491431948,8616123,200.02744211429018,7697256
2026,67.53333333333333,175.09078657191864,8574546,188.65432341934212,8620182,200.1301941217744,7701210
2027,67.56666666666666,175.02468757657437,8571309,188.59188497143984,8617329,200.0644733764715,7698681
2028,67.6,175.09697378093605,8574849,188.6350206815048,8619300,200.08279410618226,7699386
2029,67.63333333333334,175.01819407008085,8570991,188.56450659838487,8616078,199.9971934201294,7696092
2030,67.66666666666667,175.11786326880667,8575872,188.68386842623596,8621532,200.1438372183675,7701735
2031,67.7,175.08778485665277,8574399,188.62116735605017,8618667,200.0418648164029,7697811
2032,67.73333333333333,175.1922935555011,8579517,188.67106558991532,8620947,200.1099243782646,7700430
2033,67.76666666666667,175.01611124724332,8570889,188.57973869082792,8616774,200.02128323068527,7697019
2034,67.8,175.07626807155108,8573835,188.6671262556628,8620767,200.0621345599127,7698591
2035,67.83333333333333,175.08619210977702,8574321,188.6236622677434,8618781,200.04396975130584,7697892
2036,67.86666666666666,175.102487135506,8575119,188.6646969995404,8620656,200.1182661573244,7700751
2037,67.9,175.02995589316345,8571567,188.61407655439564,8618343,200.0091213845794,7696551
2038,67.93333333333334,175.10463121783877,8575224,188.68767644934672,8621706,200.08700397598815,7699548
2039,67.96666666666667,175.05219308992895,8572656,188.64125796073796,8619585,200.00997895065098,7696584
2040,68.0,175.04802744425385,8572452,188.63147528067756,8619138,200.07492009043423,7699083
2041,68.03333333333333,174.97500612594953,8568876,188.54704221653208,8615280,199.95883682856476,7694616
2042,68.06666666666666,175.12705219308992,8576322,188.7243122578951,8623380,200.136898729243,7701468
2043,68.1,175.09593236951727,8574798,188.6604950430044,8620464,200.08871910813127,7699614
2044,68.13333333333334,175.04686351384464,8572395,188.6125664762655,8618274,200.1041552974195,7700208
2045,68.16666666666667,175.01549865229111,8570859,188.55991070842362,8615868,199.99423091915492,7695978
2046,68.2,175.08943886302376,8574480,188.64270238329723,8619651,200.0597177828019,7698498
2047,68.23333333333333,174.99901984807644,8570052,188.55629965202547,8615703,200.00350822483824,7696335
2048,68.26666666666667,175.0377971085518,8571951,188.49675004924168,8612982,200.04989475325485,7698120
2049,68.3,174.97365841705465,8568810,188.52169916617424,8614122,200.02432369221174,7697136
2050,68.33333333333333,175.00294045577064,8570244,188.61959162234916,8618595,199.99033289155687,7695828
2051,68.36666666666666,174.9946091644205,8569836,188.53450200249492,8614707,200.0007796055196,7696230
2052,68.4,175.014089683901,8570790,188.59201628258157,8617335,200.0279878381539,7697277
2053,68.43333333333334,174.96808380298947,8568537,188.62005121134527,8618616,200.03726514383723,7697634
2054,68.46666666666667,174.98021318304336,8569131,188.55564309631671,8615673,200.02572698214703,7697190
2055,68.5,174.9774565057584,8568996,188.5638500426761,8616048,200.03905823653233,7697703
2056,68.53333333333333,175.00894388630238,8570538,188.55032499507584,8615430,200.03781086770095,7697655
2057,68.56666666666666,175.0053908355795,8570364,188.60409690762262,8617887,200.0024167771108,7696293
2058,68.6,175.00520705709386,8570355,188.5763902567133,8616621,199.99890855227255,7696158
2059,68.63333333333334,174.997243322715,8569965,188.59766266167685,8617593,200.04537304124113,7697946
2060,68.66666666666667,174.970717961284,8568666,188.59864749523996,8617638,200.03360099789506,7697493
2061,68.7,174.99601813281058,8569905,188.59621823911758,8617527,200.03024869416075,7697364
2062,68.73333333333333,174.96888017642735,8568576,188.51112861926333,8613639,200.0014032899353,7696254
2063,68.76666666666667,175.05372457730948,8572731,188.68977742761473,8621802,200.1492164964528,7701942
2064,68.8,175.00722862043617,8570454,188.54993106165057,8615412,200.04451547516956,7697913
2065,68.83333333333333,175.0659152168586,8573328,188.68301490381458,8621493,200.09651516332735,7699914
2066,68.86666666666666,175.0244425385935,8571297,188.59956667323223,8617680,200.04755593669603,7698030
2067,68.9,175.08564077432,8574294,188.6313439695358,8619132,200.08209246121461,7699359
2068,68.93333333333334,175.04226905170302,8572170,188.5757993565754,8616594,200.0073282918843,7696482
2069,68.96666666666667,175.07351139426612,8573700,188.6660757665288,8620719,200.09729476884695,7699944
2070,69.0,175.04282038716002,8572197,188.55327949576522,8615565,200.01847665081468,7696911
2071,69.03333333333333,175.12864493996568,8576400,188.66981813406866,8620890,200.0968270055352,7699926
2072,69.06666666666666,175.03785836804704,8571954,188.57350141159478,8616489,200.0049894753255,7696392
2073,69.1,175.09556481254594,8574780,188.68610071564572,8621634,200.15740235440867,7702257
2074,69.13333333333334,174.9920975251164,8569713,188.57987000196968,8616780,199.98308256022452,7695549
2075,69.16666666666667,175.0790860083313,8573973,188.68104523668833,8621403,200.11740859125283,7700718
2076,69.2,175.07835089438862,8573937,188.61440483225002,8618358,200.07741482809698,7699179
2077,69.23333333333333,175.0571551090419,8572899,188.67040903420656,8620917,200.06057534887347,7698531
2078,69.26666666666667,175.01065915216859,8570622,188.54054231501541,8614983,199.90785062758243,7692654
2079,69.3,175.13973290860082,8576943,188.65701529774802,8620305,200.0811569345911,7699323
2080,69.33333333333333,175.0619333496692,8573133,188.5853194143523,8617029,199.9982069073049,7696131
2081,69.36666666666666,175.0887037490811,8574444,188.62957126912218,8619051,200.1025960863803,7700148
2082,69.4,175.04882381769175,8572491,188.5545926071827,8615625,200.0042098698059,7696362
2083,69.43333333333334,175.13887527566771,8576901,188.71754973409494,8623071,200.12575037031263,7701039
2084,69.46666666666667,175.05556236216614,8572821,188.63528330378833,8619312,200.0105246745147,7696605
2085,69.5,175.09201176182307,8574606,188.6250410347318,8618844,200.08622437046856,7699518
2086,69.53333333333333,175.00159274687576,8570178,188.52780513426563,8614401,200.01871053247058,7696920
2087,69.56666666666666,175.08686596422444,8574354,188.68656030464186,8621655,200.11912372339597,7700784
2088,69.6,175.04245283018867,8572179,188.62097038933754,8618658,200.063537849848,7698645
2089,69.63333333333334,175.14818671894145,8577357,188.67382312389205,8621073,200.11413424807049,7700592
2090,69.66666666666667,175.01678510169077,8570922,188.56201168669162,8615964,200.0240118500039,7697124
2091,69.7,175.0768194070081,8573862,188.70619132033352,8622552,200.09097996413814,7699701
2092,69.73333333333333,175.03173241852488,8571654,188.6014706847876,8617767,200.03523816948623,7697556
2093,69.76666666666667,175.0782896348934,8573934,188.65274768564112,8620110,200.11920168394792,7700787
2094,69.8,174.98658417054642,8569443,188.58755170376207,8617131,200.01356513604117,7696722
2095,69.83333333333333,175.05298946336683,8572695,188.69424200643425,8622006,200.07336087939504,7699023
